URI,Label,Comment,Superclasses,EquivalentClasses
https://w3id.org/respond#ACFrequency,AC Frequency,AC frequency is the number of cycles per second in an alternating current (AC) sine wave.,"[""https://w3id.org/saref#Property""]",
https://smartdatamodels.org/dataModel.Energy/ACMeausrement,AC Meausrement,"The Data Model intended to measure the electrical energies consumed by an electrical system which uses an Alternating Current (AC) for a three-phase (L1, L2, L3) or single-phase (L) and neutral (N). It integrates the initial version of the data Modem [THREEPHASEMEASUREMENT], extended to also perform single-phase measurements. It includes attributes for various electrical measurements such as power, frequency, current and voltage.",[],
https://sargon-n5geh.netlify.app/ontology/1.0/classes/AC-DC,AC-DC,,"[""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Convertor"", {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/sub_category"", ""someValuesFrom"": ""https://w3id.org/saref#Device""}, {""onProperty"": ""https://w3id.org/saref#hasFunction"", ""someValuesFrom"": ""https://w3id.org/saref#LevelControlFunction""}, {""onProperty"": ""https://w3id.org/saref#hasState"", ""someValuesFrom"": ""https://w3id.org/saref#OnOffFunction""}, {""onProperty"": ""https://w3id.org/saref#hasDescription"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/address"", ""http://www.w3.org/2002/07/owl#hasValue"": ""Geo:json""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/logical_node"", ""http://www.w3.org/2002/07/owl#hasValue"": ""String""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/primary_current"", ""http://www.w3.org/2002/07/owl#hasValue"": ""String""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/secondary_current"", ""http://www.w3.org/2002/07/owl#hasValue"": ""String""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/secondary_voltage"", ""http://www.w3.org/2002/07/owl#hasValue"": ""String""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/supported_network"", ""http://www.w3.org/2002/07/owl#hasValue"": ""String""}]",
https://w3id.org/sbeo#Ability,Ability,Possession of the means or skill to do something (Oxford Dictionary of English).,[],
https://w3id.org/sbeo#ActiveFireProtectionDevice,Active Fire Protection Device,It is an integral part of the fire protection used as a first response to minimize the spread of fire and related effects.,"[""https://w3id.org/sbeo#FireProtectionDevice""]",
https://w3id.org/sbeo#Activity,Activity,"A process that a person, group of persons, or machine does during a specific amount of time, such as visiting, shopping, etc.","[{""onProperty"": ""https://w3id.org/sbeo#hasIntensity"", ""someValuesFrom"": ""https://w3id.org/sbeo#Intensity""}, {""onProperty"": ""https://w3id.org/sbeo#performedBy"", ""allValuesFrom"": ""https://w3id.org/sbeo#SocialUnit""}, {""onProperty"": ""https://w3id.org/sbeo#performedBy"", ""http://www.w3.org/2002/07/owl#minQualifiedCardinality"": ""1"", ""onClass"": ""https://w3id.org/sbeo#SocialUnit""}, {""onProperty"": ""https://w3id.org/sbeo#startedAtTime"", ""qualifiedCardinality"": ""1"", ""http://www.w3.org/2002/07/owl#onDataRange"": ""http://www.w3.org/2001/XMLSchema#unsignedLong""}, {""onProperty"": ""https://w3id.org/sbeo#endedAtTime"", ""http://www.w3.org/2002/07/owl#maxQualifiedCardinality"": ""1"", ""http://www.w3.org/2002/07/owl#onDataRange"": ""http://www.w3.org/2001/XMLSchema#unsignedLong""}]",
https://w3id.org/sbeo#ActivityImpact,Activity Impact,A parameter to express the impact of an activity on a specific person (or type of persons) in terms of any specific value or a type.,"[""https://w3id.org/sbeo#Parameter"", {""onProperty"": ""https://w3id.org/sbeo#forSpace"", ""someValuesFrom"": ""N376e683daf424f17b5884f9242f8dffc""}, {""onProperty"": ""https://w3id.org/sbeo#forPerson"", ""allValuesFrom"": ""https://w3id.org/sbeo#SocialUnit""}, {""onProperty"": ""https://w3id.org/sbeo#hasImpact"", ""allValuesFrom"": ""https://w3id.org/sbeo#Impact""}, {""onProperty"": ""https://w3id.org/sbeo#ofActivity"", ""allValuesFrom"": ""https://w3id.org/sbeo#Activity""}, {""onProperty"": ""https://w3id.org/sbeo#hasImpact"", ""http://www.w3.org/2002/07/owl#cardinality"": ""1""}, {""onProperty"": ""https://w3id.org/sbeo#ofActivity"", ""http://www.w3.org/2002/07/owl#cardinality"": ""1""}]",
https://w3id.org/sbeo#ActivitySeverity,Activity Severity,A parameter to express the severity of an activity for a specific person (or type of persons) in terms of  potential severity levels.,"[""https://w3id.org/sbeo#Parameter"", {""onProperty"": ""https://w3id.org/sbeo#forPerson"", ""allValuesFrom"": ""https://w3id.org/sbeo#SocialUnit""}, {""onProperty"": ""https://w3id.org/sbeo#hasSeverity"", ""allValuesFrom"": ""https://w3id.org/sbeo#Severity""}, {""onProperty"": ""https://w3id.org/sbeo#ofActivity"", ""allValuesFrom"": ""https://w3id.org/sbeo#Activity""}, {""onProperty"": ""https://w3id.org/sbeo#hasSeverity"", ""http://www.w3.org/2002/07/owl#cardinality"": ""1""}, {""onProperty"": ""https://w3id.org/sbeo#ofActivity"", ""http://www.w3.org/2002/07/owl#cardinality"": ""1""}]",
https://w3id.org/sbeo#ActivityStatus,Activity Status,It expresses the status of a specific activity being performed by a person.,[],
https://w3id.org/saref#ActuatingFunction,Actuating function,"A function that allows to transmit data to actuators, such as level settings (e.g., temperature) or binary switching (e.g., open/close, on/off)","[""https://w3id.org/saref#Function""]",
